Solucao	Gap	Tempo	Status Gurobi
0	0.0	0.01	2
Custos
Estoque	Setup
0	24000
J	T	M
10	8	3

Ocupacao de Maquinas Por Periodo
0.0	0.0	0.0	0.0	0.0	100.0	0.0	53.89	
47.51	48.1	18.34	15.37	26.23	49.51	30.18	0.0	
27.31	62.11	55.03	14.69	33.37	34.17	22.69	100.0	

Custos Estoque Por Periodo
0	0	0	0	0	0	0	0	

Item	T	Maq	Prod	Inv	Dem E	Dem I
1	1	1	0	0	119	0
1	1	2	119	0	119	0
1	1	3	0	0	119	0
1	2	1	0	0	104	0
1	2	2	104	0	104	0
1	2	3	0	0	104	0
1	3	1	0	0	65	0
1	3	2	65	0	65	0
1	3	3	0	0	65	0
1	4	1	0	0	81	0
1	4	2	0	0	81	0
1	4	3	81	0	81	0
1	5	1	0	0	93	0
1	5	2	93	0	93	0
1	5	3	0	0	93	0
1	6	1	0	0	97	0
1	6	2	0	0	97	0
1	6	3	97	0	97	0
1	7	1	0	0	107	0
1	7	2	107	0	107	0
1	7	3	0	0	107	0
1	8	1	104	0	104	0
1	8	2	0	0	104	0
1	8	3	0	0	104	0

2	1	1	143	0	24	0
2	1	2	0	0	24	0
2	1	3	0	0	24	0
2	2	1	118	0	14	0
2	2	2	0	0	14	0
2	2	3	0	0	14	0
2	3	1	81	0	16	0
2	3	2	0	0	16	0
2	3	3	0	0	16	0
2	4	1	0	0	28	0
2	4	2	109	0	28	0
2	4	3	0	0	28	0
2	5	1	106	0	13	0
2	5	2	0	0	13	0
2	5	3	0	0	13	0
2	6	1	0	0	16	0
2	6	2	113	0	16	0
2	6	3	0	0	16	0
2	7	1	124	0	17	0
2	7	2	0	0	17	0
2	7	3	0	0	17	0
2	8	1	129	0	25	0
2	8	2	0	0	25	0
2	8	3	0	0	25	0

3	1	1	0	0	21	0
3	1	2	0	0	21	0
3	1	3	140	0	21	0
3	2	1	0	0	29	0
3	2	2	133	0	29	0
3	2	3	0	0	29	0
3	3	1	87	0	22	0
3	3	2	0	0	22	0
3	3	3	0	0	22	0
3	4	1	0	0	28	0
3	4	2	0	0	28	0
3	4	3	109	0	28	0
3	5	1	0	0	23	0
3	5	2	0	0	23	0
3	5	3	116	0	23	0
3	6	1	0	0	25	0
3	6	2	122	0	25	0
3	6	3	0	0	25	0
3	7	1	0	0	20	0
3	7	2	0	0	20	0
3	7	3	127	0	20	0
3	8	1	0	0	17	0
3	8	2	0	0	17	0
3	8	3	121	0	17	0

4	1	1	0	0	24	0
4	1	2	143	0	24	0
4	1	3	0	0	24	0
4	2	1	123	0	19	0
4	2	2	0	0	19	0
4	2	3	0	0	19	0
4	3	1	0	0	27	0
4	3	2	0	0	27	0
4	3	3	92	0	27	0
4	4	1	94	0	13	0
4	4	2	0	0	13	0
4	4	3	0	0	13	0
4	5	1	0	0	15	0
4	5	2	0	0	15	0
4	5	3	108	0	15	0
4	6	1	0	0	19	0
4	6	2	116	0	19	0
4	6	3	0	0	19	0
4	7	1	127	0	20	0
4	7	2	0	0	20	0
4	7	3	0	0	20	0
4	8	1	118	0	14	0
4	8	2	0	0	14	0
4	8	3	0	0	14	0

5	1	1	0	0	15	0
5	1	2	0	0	15	0
5	1	3	158	0	15	0
5	2	1	0	0	25	0
5	2	2	0	0	25	0
5	2	3	143	0	25	0
5	3	1	96	0	15	0
5	3	2	0	0	15	0
5	3	3	0	0	15	0
5	4	1	129	0	20	0
5	4	2	0	0	20	0
5	4	3	0	0	20	0
5	5	1	131	0	25	0
5	5	2	0	0	25	0
5	5	3	0	0	25	0
5	6	1	0	0	13	0
5	6	2	126	0	13	0
5	6	3	0	0	13	0
5	7	1	148	0	24	0
5	7	2	0	0	24	0
5	7	3	0	0	24	0
5	8	1	141	0	12	0
5	8	2	0	0	12	0
5	8	3	0	0	12	0

6	1	1	0	0	18	0
6	1	2	0	0	18	0
6	1	3	161	0	18	0
6	2	1	0	0	25	0
6	2	2	143	0	25	0
6	2	3	0	0	25	0
6	3	1	0	0	22	0
6	3	2	0	0	22	0
6	3	3	103	0	22	0
6	4	1	0	0	18	0
6	4	2	0	0	18	0
6	4	3	127	0	18	0
6	5	1	0	0	19	0
6	5	2	0	0	19	0
6	5	3	125	0	19	0
6	6	1	0	0	25	0
6	6	2	138	0	25	0
6	6	3	0	0	25	0
6	7	1	137	0	13	0
6	7	2	0	0	13	0
6	7	3	0	0	13	0
6	8	1	0	0	17	0
6	8	2	0	0	17	0
6	8	3	146	0	17	0

7	1	1	163	0	23	0
7	1	2	0	0	23	0
7	1	3	0	0	23	0
7	2	1	0	0	21	0
7	2	2	0	0	21	0
7	2	3	154	0	21	0
7	3	1	0	0	13	0
7	3	2	100	0	13	0
7	3	3	0	0	13	0
7	4	1	126	0	17	0
7	4	2	0	0	17	0
7	4	3	0	0	17	0
7	5	1	0	0	19	0
7	5	2	0	0	19	0
7	5	3	135	0	19	0
7	6	1	140	0	18	0
7	6	2	0	0	18	0
7	6	3	0	0	18	0
7	7	1	0	0	17	0
7	7	2	144	0	17	0
7	7	3	0	0	17	0
7	8	1	0	0	22	0
7	8	2	143	0	22	0
7	8	3	0	0	22	0

8	1	1	0	0	19	0
8	1	2	0	0	19	0
8	1	3	159	0	19	0
8	2	1	0	0	20	0
8	2	2	0	0	20	0
8	2	3	153	0	20	0
8	3	1	0	0	23	0
8	3	2	110	0	23	0
8	3	3	0	0	23	0
8	4	1	0	0	21	0
8	4	2	0	0	21	0
8	4	3	130	0	21	0
8	5	1	0	0	24	0
8	5	2	140	0	24	0
8	5	3	0	0	24	0
8	6	1	96	0	18	0
8	6	2	44	0	18	0
8	6	3	0	0	18	0
8	7	1	0	0	23	0
8	7	2	150	0	23	0
8	7	3	0	0	23	0
8	8	1	0	0	18	0
8	8	2	0	0	18	0
8	8	3	139	0	18	0

9	1	1	0	0	13	0
9	1	2	728	0	13	0
9	1	3	0	0	13	0
9	2	1	0	0	22	0
9	2	2	0	0	22	0
9	2	3	637	0	22	0
9	3	1	0	0	16	0
9	3	2	0	0	16	0
9	3	3	476	0	16	0
9	4	1	488	0	18	0
9	4	2	0	0	18	0
9	4	3	0	0	18	0
9	5	1	0	0	17	0
9	5	2	557	0	17	0
9	5	3	0	0	17	0
9	6	1	0	0	18	0
9	6	2	0	0	18	0
9	6	3	598	0	18	0
9	7	1	660	0	25	0
9	7	2	0	0	25	0
9	7	3	0	0	25	0
9	8	1	0	0	16	0
9	8	2	495	0	16	0
9	8	3	111	0	16	0

10	1	1	0	0	19	0
10	1	2	162	0	19	0
10	1	3	0	0	19	0
10	2	1	0	0	22	0
10	2	2	145	0	22	0
10	2	3	0	0	22	0
10	3	1	0	0	16	0
10	3	2	0	0	16	0
10	3	3	108	0	16	0
10	4	1	116	0	22	0
10	4	2	0	0	22	0
10	4	3	0	0	22	0
10	5	1	125	0	17	0
10	5	2	0	0	17	0
10	5	3	0	0	17	0
10	6	1	139	0	23	0
10	6	2	0	0	23	0
10	6	3	0	0	23	0
10	7	1	0	0	20	0
10	7	2	0	0	20	0
10	7	3	147	0	20	0
10	8	1	141	0	23	0
10	8	2	0	0	23	0
10	8	3	0	0	23	0

