Solucao	Gap	Tempo	Status Gurobi
20	0.0	0.02	2

Custos
Estoque	Setup
0	14600
J	T	M
10	8	3

Ocupacao de Maquinas Por Periodo
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	83.98	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	68.03	0.0	0.0	

Custos Estoque Por Periodo
0	0	0	0	0	0	0	0	

Item	T	Maq	Prod	Inv	Dem E	Dem I
1	1	1	0	0	0	0
1	1	2	0	0	0	0
1	1	3	0	0	0	0
1	2	1	0	0	0	0
1	2	2	0	0	0	0
1	2	3	0	0	0	0
1	3	1	0	0	0	0
1	3	2	0	0	0	0
1	3	3	0	0	0	0
1	4	1	0	0	0	0
1	4	2	0	0	0	0
1	4	3	0	0	0	0
1	5	1	0	0	0	0
1	5	2	0	0	0	0
1	5	3	0	0	0	0
1	6	1	0	0	119	0
1	6	2	119	0	119	0
1	6	3	0	0	119	0
1	7	1	0	0	0	0
1	7	2	0	0	0	0
1	7	3	0	0	0	0
1	8	1	0	0	0	0
1	8	2	0	0	0	0
1	8	3	0	0	0	0

2	1	1	0	0	0	0
2	1	2	0	0	0	0
2	1	3	0	0	0	0
2	2	1	0	0	0	0
2	2	2	0	0	0	0
2	2	3	0	0	0	0
2	3	1	0	0	0	0
2	3	2	0	0	0	0
2	3	3	0	0	0	0
2	4	1	0	0	0	0
2	4	2	0	0	0	0
2	4	3	0	0	0	0
2	5	1	0	0	0	0
2	5	2	0	0	0	0
2	5	3	0	0	0	0
2	6	1	0	0	0	0
2	6	2	119	0	0	119
2	6	3	0	0	0	119
2	7	1	0	0	0	119
2	7	2	0	0	0	119
2	7	3	0	0	0	119
2	8	1	0	0	0	119
2	8	2	0	0	0	119
2	8	3	0	0	0	119

3	1	1	0	0	0	119
3	1	2	0	0	0	119
3	1	3	0	0	0	119
3	2	1	0	0	0	119
3	2	2	0	0	0	119
3	2	3	0	0	0	119
3	3	1	0	0	0	119
3	3	2	0	0	0	119
3	3	3	0	0	0	119
3	4	1	0	0	0	119
3	4	2	0	0	0	119
3	4	3	0	0	0	119
3	5	1	0	0	0	119
3	5	2	0	0	0	119
3	5	3	0	0	0	119
3	6	1	0	0	0	119
3	6	2	119	0	0	238
3	6	3	0	0	0	238
3	7	1	0	0	0	238
3	7	2	0	0	0	238
3	7	3	0	0	0	238
3	8	1	0	0	0	238
3	8	2	0	0	0	238
3	8	3	0	0	0	238

4	1	1	0	0	0	238
4	1	2	0	0	0	238
4	1	3	0	0	0	238
4	2	1	0	0	0	238
4	2	2	0	0	0	238
4	2	3	0	0	0	238
4	3	1	0	0	0	238
4	3	2	0	0	0	238
4	3	3	0	0	0	238
4	4	1	0	0	0	238
4	4	2	0	0	0	238
4	4	3	0	0	0	238
4	5	1	0	0	0	238
4	5	2	0	0	0	238
4	5	3	0	0	0	238
4	6	1	0	0	0	238
4	6	2	119	0	0	357
4	6	3	0	0	0	357
4	7	1	0	0	0	357
4	7	2	0	0	0	357
4	7	3	0	0	0	357
4	8	1	0	0	0	357
4	8	2	0	0	0	357
4	8	3	0	0	0	357

5	1	1	0	0	0	357
5	1	2	0	0	0	357
5	1	3	0	0	0	357
5	2	1	0	0	0	357
5	2	2	0	0	0	357
5	2	3	0	0	0	357
5	3	1	0	0	0	357
5	3	2	0	0	0	357
5	3	3	0	0	0	357
5	4	1	0	0	0	357
5	4	2	0	0	0	357
5	4	3	0	0	0	357
5	5	1	0	0	0	357
5	5	2	0	0	0	357
5	5	3	0	0	0	357
5	6	1	0	0	0	357
5	6	2	0	0	0	476
5	6	3	119	0	0	476
5	7	1	0	0	0	476
5	7	2	0	0	0	476
5	7	3	0	0	0	476
5	8	1	0	0	0	476
5	8	2	0	0	0	476
5	8	3	0	0	0	476

6	1	1	0	0	0	476
6	1	2	0	0	0	476
6	1	3	0	0	0	476
6	2	1	0	0	0	476
6	2	2	0	0	0	476
6	2	3	0	0	0	476
6	3	1	0	0	0	476
6	3	2	0	0	0	476
6	3	3	0	0	0	476
6	4	1	0	0	0	476
6	4	2	0	0	0	476
6	4	3	0	0	0	476
6	5	1	0	0	0	476
6	5	2	0	0	0	476
6	5	3	0	0	0	476
6	6	1	0	0	0	476
6	6	2	0	0	0	595
6	6	3	119	0	0	595
6	7	1	0	0	0	595
6	7	2	0	0	0	595
6	7	3	0	0	0	595
6	8	1	0	0	0	595
6	8	2	0	0	0	595
6	8	3	0	0	0	595

7	1	1	0	0	0	595
7	1	2	0	0	0	595
7	1	3	0	0	0	595
7	2	1	0	0	0	595
7	2	2	0	0	0	595
7	2	3	0	0	0	595
7	3	1	0	0	0	595
7	3	2	0	0	0	595
7	3	3	0	0	0	595
7	4	1	0	0	0	595
7	4	2	0	0	0	595
7	4	3	0	0	0	595
7	5	1	0	0	0	595
7	5	2	0	0	0	595
7	5	3	0	0	0	595
7	6	1	0	0	0	595
7	6	2	0	0	0	714
7	6	3	119	0	0	714
7	7	1	0	0	0	714
7	7	2	0	0	0	714
7	7	3	0	0	0	714
7	8	1	0	0	0	714
7	8	2	0	0	0	714
7	8	3	0	0	0	714

8	1	1	0	0	0	714
8	1	2	0	0	0	714
8	1	3	0	0	0	714
8	2	1	0	0	0	714
8	2	2	0	0	0	714
8	2	3	0	0	0	714
8	3	1	0	0	0	714
8	3	2	0	0	0	714
8	3	3	0	0	0	714
8	4	1	0	0	0	714
8	4	2	0	0	0	714
8	4	3	0	0	0	714
8	5	1	0	0	0	714
8	5	2	0	0	0	714
8	5	3	0	0	0	714
8	6	1	0	0	0	714
8	6	2	0	0	0	833
8	6	3	119	0	0	833
8	7	1	0	0	0	833
8	7	2	0	0	0	833
8	7	3	0	0	0	833
8	8	1	0	0	0	833
8	8	2	0	0	0	833
8	8	3	0	0	0	833

9	1	1	0	0	0	833
9	1	2	0	0	0	833
9	1	3	0	0	0	833
9	2	1	0	0	0	833
9	2	2	0	0	0	833
9	2	3	0	0	0	833
9	3	1	0	0	0	833
9	3	2	0	0	0	833
9	3	3	0	0	0	833
9	4	1	0	0	0	833
9	4	2	0	0	0	833
9	4	3	0	0	0	833
9	5	1	0	0	0	833
9	5	2	0	0	0	833
9	5	3	0	0	0	833
9	6	1	0	0	0	833
9	6	2	0	0	0	1428
9	6	3	595	0	0	1428
9	7	1	0	0	0	1428
9	7	2	0	0	0	1428
9	7	3	0	0	0	1428
9	8	1	0	0	0	1428
