CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Quantidade,Valor
2,Tipo_B,ORLÂNDIA,SP,2018-11-12,1,47150
9,Tipo_F_15-20,UNAI,MG,2015-11-10,1,208615.38000000
9,Tipo_F_15-20,UNAI,MG,2015-11-10,1,208615.38000000
5,Tipo_E,JUSSARA,GO,2015-09-09,1,179510.18930000
11,Tipo_F_25-27,JUSSARA,GO,2015-11-10,1,388661.55000000
3,Tipo_C,JUSSARA,GO,2015-11-10,1,134815.38000000
3,Tipo_C,JUSSARA,GO,2015-11-10,1,134815.38000000
11,Tipo_F_25-27,JUSSARA,GO,2015-11-10,1,388661.55000000
3,Tipo_C,JUSSARA,GO,2015-11-10,1,134815.38000000
11,Tipo_F_25-27,CONCEICAO DAS ALAGOAS,MG,2020-08-13,1,138838.71000000
7,Tipo_F_0-11,VARGEM GRANDE DO SUL,SP,2015-05-11,1,37503.52000000
7,Tipo_F_0-11,DIAMANTINO,MT,2015-11-05,1,40696.60000000
9,Tipo_F_15-20,DESCALVADO,SP,2019-12-04,1,172200
7,Tipo_F_0-11,PARAGOMINAS,PA,2016-05-31,1,53429.15000000
1,Tipo_A,PARAGOMINAS,PA,2016-06-07,1,24149
7,Tipo_F_0-11,ALTA FLORESTA,MT,2015-06-15,1,32718
18,Tipo_J_9,BOA ESPERANÇA,MG,2015-11-03,1,100860
7,Tipo_F_0-11,JANDAIA,GO,2020-05-13,1,57400
11,Tipo_F_25-27,MOJU,PA,2019-09-30,1,200900
8,Tipo_F_0-11_Z,UBERABA,MG,2020-12-01,1,75794.65000000
18,Tipo_J_9,UBERABA,MG,2020-12-03,1,113283
7,Tipo_F_0-11,PARA DE MINAS,MG,2015-04-15,1,50614.50000000
1,Tipo_A,PARA DE MINAS,MG,2015-06-02,1,19241.30000000
1,Tipo_A,PARA DE MINAS,MG,2015-07-27,1,19955.11000000
13,Tipo_H_2-5,PARA DE MINAS,MG,2015-07-29,1,28413
13,Tipo_H_2-5,PARA DE MINAS,MG,2015-09-22,1,28413
7,Tipo_F_0-11,PARA DE MINAS,MG,2015-10-19,1,39628.96000000
1,Tipo_A,PARA DE MINAS,MG,2015-10-30,1,13130.25000000
13,Tipo_H_2-5,PARA DE MINAS,MG,2015-11-04,1,38162.80000000
8,Tipo_F_0-11_Z,ITURAMA,MG,2017-08-29,1,53019.56000000
11,Tipo_F_25-27,COCALINHO,MT,2017-05-30,1,303272.08000000
11,Tipo_F_25-27,XINGUARA,PA,2019-05-24,1,205950.79000000
11,Tipo_F_25-27,XINGUARA,PA,2019-05-24,1,205950.79000000
8,Tipo_F_0-11_Z,XINGUARA,PA,2020-04-28,1,61172
13,Tipo_H_2-5,PRATA,MG,2019-12-11,1,47150
11,Tipo_F_25-27,PRESIDENTE BERNARDES,SP,2017-11-24,1,223450
11,Tipo_F_25-27,PRESIDENTE BERNARDES,SP,2019-03-22,1,220990
11,Tipo_F_25-27,PRESIDENTE BERNARDES,SP,2020-11-30,1,205000
15,Tipo_H_12-15,SANDOLÂNDIA,TO,2020-01-15,1,59860
9,Tipo_F_15-20,CAARAPO,MS,2020-04-07,1,97703
9,Tipo_F_15-20,CAARAPO,MS,2020-11-17,1,97703
17,Tipo_J_2-8,SÃO CARLOS,SP,2017-10-26,1,25399.50000000
7,Tipo_F_0-11,FERNANDOPOLIS,SP,2015-05-07,1,30948.85000000
13,Tipo_H_2-5,FERNANDOPOLIS,SP,2015-05-11,1,25010
7,Tipo_F_0-11,FERNANDOPOLIS,SP,2015-07-24,1,49917.09000000
13,Tipo_H_2-5,FERNANDOPOLIS,SP,2015-07-28,1,25010
14,Tipo_H_6-10,FERNANDOPOLIS,SP,2016-05-16,1,33214.10000000
17,Tipo_J_2-8,FERNANDOPOLIS,SP,2016-08-31,1,17523.81000000
4,Tipo_D,FERNANDOPOLIS,SP,2017-05-25,1,13526.31000000
4,Tipo_D,FERNANDOPOLIS,SP,2017-07-06,1,11255.32000000
4,Tipo_D,FERNANDOPOLIS,SP,2017-07-17,1,11255.32000000
4,Tipo_D,FERNANDOPOLIS,SP,2017-07-26,1,11255.32000000
4,Tipo_D,FERNANDOPOLIS,SP,2017-07-26,1,11885.49000000
7,Tipo_F_0-11,FERNANDOPOLIS,SP,2020-10-13,1,41129.97000000
7,Tipo_F_0-11,MARILIA,SP,2017-10-27,1,45879
13,Tipo_H_2-5,NAO ME TOQUE,RS,2015-06-10,1,26992.76000000
4,Tipo_D,NAO ME TOQUE,RS,2015-10-14,1,22325.26670000
6,Tipo_F_Mini,NAO ME TOQUE,RS,2015-10-14,1,18745.45420000
4,Tipo_D,NAO ME TOQUE,RS,2015-12-01,1,28140.47300000
14,Tipo_H_6-10,NAO ME TOQUE,RS,2016-03-15,1,45100
17,Tipo_J_2-8,NAO ME TOQUE,RS,2016-06-09,1,23066.60000000
13,Tipo_H_2-5,NAO ME TOQUE,RS,2016-07-13,1,31922.72300000
