CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Valor
08340020,LOIC-1800 SUPERCFC-1,Paraguacu,MG,2003-01-10,5104.76
08339020,LOIC-1800 SUPERCFC-1,Ituiutava,MG,2003-01-13,10026.78
08870020,TMY 753LILTMW 7,Sao Gotardo,MG,2003-01-13,42419.04
09359020,LOIC-1800 SUPER - MECFC-1,Guaraci,SP,2003-01-20,11230.48
08340020,LOIC-1800 SUPERCFC-1,Iaciara,GO,2003-01-20,9721.51
09359020,LOIC-1800 SUPER - MECFC-1,Indaiatuba,SP,2003-01-21,11838.46
08339020,LOIC-1800 SUPERCFC-1,Franca,SP,2003-01-24,8933.34
08417020,GILON 11000 (DT DE LINHA)GILON,Mococa,SP,2003-01-27,8167.62
08340020,LOIC-1800 SUPERCFC-1,Cristalina,GO,2003-01-31,9587.85
08341020,LOIC-1800 SUPER -> FLCFC-1,Mirante Do Paran,SP,2003-02-04,10209.52
0128244020,LEC-8511C->FLLEC-8,Luziania,RO,2003-02-05,20929.51
012824020,LEC-8511C->FLLEC-8,Luziania,GO,2003-02-05,20929.52
08340020,LOIC-1800 SUPERCFC-1,Sete Quedas,MS,2003-02-05,10997.70
08424020,GILON 18000SGILON,Campina Verde,MG,2003-02-06,10975.24
08424020,GILON 18000SGILON,Campina Verde,MG,2003-02-06,10975.24
08340020,LOIC-1800 SUPERCFC-1,Mundo Novo,GO,2003-02-10,11051.81
08350020,LOIC-2000S - MECFC-2,Buri,SP,2003-02-14,9571.43
09185020,LILC-180AP - FLCRC-1,Bauru,SP,2003-02-20,17100.96
08417020,GILON 11000 (DT DE LINHA)GILON,Avai,SP,2003-02-21,11230.48
08339020,LOIC-1800 SUPERCFC-1,Medianeira,PR,2003-02-26,8929.25
08816020,VM-15VM-15,Agua Boa,MT,2003-02-26,22971.43
08339020,LOIC-1800 SUPERCFC-1,Patrocinio,MG,2003-02-27,12419.38
013429020,TMY 503 LILTMW 5,Pains,MG,2003-02-27,41399.62
08339020,LOIC-1800 SUPERCFC-1,Nova Crixas,GO,2003-02-27,11610.78
08340020,LOIC-1800 SUPERCFC-1,Cristalina,GO,2003-02-27,9587.85
08383020,TMY 2503 CH - 2TMW 2,Descalvado,SP,2003-02-28,30526.48
08417020,GILON 11000 (DT DE LINHA)GILON,Descalvado,SP,2003-02-28,13527.62
08417020,GILON 11000 (DT DE LINHA)GILON,Uniao De Minas,MG,2003-02-28,10827.20
08709020,TMY 1303C - FLTMW 1,Descalvado,SP,2003-03-05,27412.57
08414020,VM-450 -> FLVM-45,Castro,PR,2003-03-06,15423.53
08342020,LOIC-1300 SUPERCFC-1,Miranda,MS,2003-03-06,10311.62
08339020,LOIC-1800 SUPERCFC-1,Castro,PR,2003-03-12,8522.76
08363020,PODA PASTO 2000PODA ,Terenos,MS,2003-03-14,3741.79
08339020,LOIC-1800 SUPERCFC-1,Selviria,MS,2003-03-20,12419.38
09359020,LOIC-1800 SUPER - MECFC-1,Indaiatuba,SP,2003-03-21,11029.86
08389020,TMY 603LIL - FLTMW 6,Cascavel,PR,2003-03-21,43128.09
08339020,LOIC-1800 SUPERCFC-1,Goiania,GO,2003-03-25,11610.27
08339020,LOIC-1800 SUPERCFC-1,Uberlandia,MG,2003-03-26,12404.57
08339020,LOIC-1800 SUPERCFC-1,Sao Caetano Do,SP,2003-03-27,9572.16
08341020,LOIC-1800 SUPER -> FLCFC-1,Tiangua,CE,2003-03-28,11030.24
013026020,LILC-180AP - FLCRC-1,Amambai,MS,2003-04-01,15314.29
08342020,LOIC-1300 SUPERCFC-1,Ibia,SP,2003-04-02,10012.48
09359020,LOIC-1800 SUPER - MECFC-1,Fernandopolis,SP,2003-04-02,12418.86
09359020,LOIC-1800 SUPER - MECFC-1,Fernandopolis,SP,2003-04-03,12418.86
08339020,LOIC-1800 SUPERCFC-1,Goiania,GO,2003-04-03,11610.27
09358020,LOIC-1300 SUPER - MECFC-1,Itumbiara,GO,2003-04-04,10720.00
09359020,LOIC-1800 SUPER - MECFC-1,Itumbiara,GO,2003-04-04,10617.91
08425020,GILON 25000SGILON,Marilia,SP,2003-04-14,11230.48
08339020,LOIC-1800 SUPERCFC-1,,GO,2003-04-15,11262.46
09359020,LOIC-1800 SUPER - MECFC-1,Canelinha,SC,2003-04-17,12760.38
013026020,LILC-180AP - FLCRC-1,Itiquira,MT,2003-04-22,15824.76
08397020,VM-11SVM-11,Agua Boa,MT,2003-04-23,29607.62
08340020,LOIC-1800 SUPERCFC-1,Santa Helena,PR,2003-04-29,11360.65
08417020,GILON 11000 (DT DE LINHA)GILON,Porto Velho,RO,2003-04-30,11397.92
08704020,TMY 603 - FL1TMW 6,Castro,PR,2003-05-05,33691.43
09361020,LILC-150AP 24 FACAS -CRC-1,Capao Bonito,SP,2003-05-08,7146.65
09361020,LILC-150AP 24 FACAS - FLCRC-1,Capao Bonito,SP,2003-05-08,7146.67
013475020,LEC-608 TANDEN -> FL1LEC-6,Rio Das Pedras,SP,2003-05-08,21446.86
013026020,LILC-180AP - FLCRC-1,Campo Grande,MS,2003-05-09,14427.70
09358020,LOIC-1300 SUPER - MECFC-1,Monte Siao,MG,2003-05-12,9494.86
013026020,LILC-180AP - FLCRC-1,Rio Verde De Mat,MS,2003-05-13,16973.34
08935020,RY-150C - FLRW-15,Maurilandia,GO,2003-05-13,45942.86
08935020,RY-150C - FLRW-15,Belo Horizonte,MG,2003-05-13,47684.60
