CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Quantidade,Valor
1,Tipo_A,,MG,2003-01-06,1,8338.2315
1,Tipo_A,PARAGUACU,MG,2003-01-10,1,3904.7621
1,Tipo_A,ITUIUTAVA,MG,2003-01-13,1,7669.7347
1,Tipo_A,GUARACI,SP,2003-01-20,1,8590.4799
1,Tipo_A,IACIARA,GO,2003-01-20,1,7436.2315
1,Tipo_A,INDAIATUBA,SP,2003-01-21,1,9055.5347
1,Tipo_A,FRANCA,SP,2003-01-24,1,6833.3347
19,Tipo_K,MOCOCA,SP,2003-01-27,1,6247.621
1,Tipo_A,CRISTALINA,GO,2003-01-31,1,7333.9898
1,Tipo_A,MIRANTE DO PARAN,SP,2003-02-04,1,7809.5242
1,Tipo_A,SETE QUEDAS,MS,2003-02-05,1,8412.421
19,Tipo_K,CAMPINA VERDE,MG,2003-02-06,1,8395.242
19,Tipo_K,CAMPINA VERDE,MG,2003-02-06,1,8395.2379
1,Tipo_A,MUNDO NOVO,GO,2003-02-10,1,8453.8105
1,Tipo_A,BAURU,SP,2003-02-20,1,13080.9557
19,Tipo_K,AVAI,SP,2003-02-21,1,8590.4799
1,Tipo_A,MEDIANEIRA,PR,2003-02-26,1,6830.2105
1,Tipo_A,PATROCINIO,MG,2003-02-27,1,9499.8968
1,Tipo_A,NOVA CRIXAS,GO,2003-02-27,1,8881.3831
1,Tipo_A,CRISTALINA,GO,2003-02-27,1,7333.9898
19,Tipo_K,DESCALVADO,SP,2003-02-28,1,10347.621
19,Tipo_K,UNIAO DE MINAS,MG,2003-02-28,1,8282
1,Tipo_A,MIRANDA,MS,2003-03-06,1,7887.621
1,Tipo_A,CASTRO,PR,2003-03-12,1,6519.2747
12,Tipo_G,TERENOS,MS,2003-03-14,1,2862.1936
1,Tipo_A,SELVIRIA,MS,2003-03-20,1,9499.8968
1,Tipo_A,,MG,2003-03-21,1,7105.1073
1,Tipo_A,INDAIATUBA,SP,2003-03-21,1,8437.021
14,Tipo_H_6-10,CASCAVEL,PR,2003-03-21,1,32989.7726
1,Tipo_A,GOIANIA,GO,2003-03-25,1,8880.9936
1,Tipo_A,UBERLANDIA,MG,2003-03-26,1,9488.5726
1,Tipo_A,SAO CAETANO DO,SP,2003-03-27,1,7321.985
1,Tipo_A,TIANGUA,CE,2003-03-28,1,8437.3121
1,Tipo_A,AMAMBAI,MS,2003-04-01,1,11714.2863
1,Tipo_A,IBIA,SP,2003-04-02,1,7658.8
1,Tipo_A,FERNANDOPOLIS,SP,2003-04-02,1,9499.5032
1,Tipo_A,FERNANDOPOLIS,SP,2003-04-03,1,9499.5032
1,Tipo_A,GOIANIA,GO,2003-04-03,1,8880.9936
1,Tipo_A,ITUMBIARA,GO,2003-04-04,1,8121.9073
1,Tipo_A,,SC,2003-04-07,1,7965.7178
19,Tipo_K,MARILIA,SP,2003-04-14,1,8590.4799
1,Tipo_A,,GO,2003-04-15,1,8614.9405
1,Tipo_A,CANELINHA,SC,2003-04-17,1,9760.7347
1,Tipo_A,ITIQUIRA,MT,2003-04-22,1,12104.7621
1,Tipo_A,SANTA HELENA,PR,2003-04-29,1,8690.0484
19,Tipo_K,PORTO VELHO,RO,2003-04-30,1,8718.5557
14,Tipo_H_6-10,CASTRO,PR,2003-05-05,1,25771.4315
1,Tipo_A,CAPAO BONITO,SP,2003-05-08,1,5466.6694
2,Tipo_B,RIO DAS PEDRAS,SP,2003-05-08,1,16405.248
1,Tipo_A,CAMPO GRANDE,MS,2003-05-09,1,11036.1176
1,Tipo_A,RIO VERDE DE MAT,MS,2003-05-13,1,12983.3347
9,Tipo_F_15-20,MAURILANDIA,GO,2003-05-13,1,35142.8589
9,Tipo_F_15-20,BELO HORIZONTE,MG,2003-05-13,1,36475.1621
14,Tipo_H_6-10,SAO PEDRO,SP,2003-05-13,1,15619.0484
19,Tipo_K,MARILIA,SP,2003-05-13,1,12656.5073
1,Tipo_A,CONTAGEM,MG,2003-05-15,1,9564.972
1,Tipo_A,PRESIDENTE KENN,TO,2003-05-15,1,8590.4799
14,Tipo_H_6-10,PANAMBI,MS,2003-05-16,1,25469.569
1,Tipo_A,PEDRO AFONSO,TO,2003-05-19,1,8881.3831
2,Tipo_B,PIRACICABA,SP,2003-05-19,1,16405.248
2,Tipo_B,RAFARD,SP,2003-05-19,1,16405.248
2,Tipo_B,IBATE,SP,2003-05-21,1,16405.248
1,Tipo_A,PARANAIBA,MS,2003-05-22,1,8881.3831
1,Tipo_A,STO ANT. LESTE,MT,2003-05-26,1,10035.2379
1,Tipo_A,PEDRO AFONSO,TO,2003-05-27,1,8881.3831
1,Tipo_A,NOVA CRIXAS,GO,2003-05-28,1,7372.9726
1,Tipo_A,SAO CARLOS,SP,2003-05-28,1,6355
1,Tipo_A,BAURU,SP,2003-05-30,1,13080.9557
7,Tipo_F_0-11,BARBOSA,SP,2003-06-05,1,35533.3347
1,Tipo_A,SAO CAETANO DO,SP,2003-06-09,1,7159.42
19,Tipo_K,DIVINOPOLIS,MG,2003-06-20,1,7419.0484
7,Tipo_F_0-11,VALPARAISO,SP,2003-06-25,1,28895.242
9,Tipo_F_15-20,CORUMBAIBA,GO,2003-06-30,1,40609.5242
19,Tipo_K,LONDRINA,PR,2003-07-04,1,9996.1936
1,Tipo_A,ITAQUIRAI,MS,2003-07-07,1,3123.8105
